Rank,Title,url,Votes_10,Votes_9,Votes_8,Votes_7,Votes_6,Votes_5,Votes_4,Votes_3,Votes_2,Votes_1,Votes_M,Votes_F,AvgRating_M,AvgRating_F
217,Spotlight,https://www.imdb.com/title/tt1895587/,49555,101199,148958,74756,20529,6421,2183,1132,787,2025,235692,59557,8.0,8.1
218,Song of the Sea,https://www.imdb.com/title/tt1865505/,9876,11820,14749,8146,2680,984,339,196,152,365,27669,10321,8.0,8.4
221,Prisoners,https://www.imdb.com/title/tt1392214/,76530,146817,215214,100635,26424,8179,3159,1698,1126,2433,365587,72996,8.1,8.0
222,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,170535,204767,225908,133554,57273,25462,12979,8529,6202,12596,524817,87213,8.1,7.9
224,Gran Torino,https://www.imdb.com/title/tt1205489/,106762,184641,234038,119518,36370,12048,5179,2959,2077,4241,485858,73834,8.1,8.1
225,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,178679,154697,205652,120292,43812,17014,6980,4100,3044,10070,423838,142088,8.0,8.5
226,Departures,https://www.imdb.com/title/tt1069238/,8463,11736,15085,7659,2518,1004,413,234,171,431,32399,7958,8.0,8.2
227,Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/,64475,51344,66076,38305,14063,5470,2156,1296,957,2073,137184,48182,8.0,8.3
228,Mary and Max,https://www.imdb.com/title/tt0978762/,30007,39615,49077,25262,8465,3468,1522,1005,779,2098,95786,32549,8.1,8.4
229,How to Train Your Dragon,https://www.imdb.com/title/tt0892769/,121408,150421,210145,114924,34226,10508,3815,1910,1272,3603,377572,119647,8.0,8.4
230,Elite Squad,https://www.imdb.com/title/tt0861739/,18966,21685,31813,15133,4720,1732,710,403,269,1122,76653,6304,8.0,8.1
231,Into the Wild,https://www.imdb.com/title/tt0758758/,114116,136612,157362,88055,32628,13337,6131,3751,2816,6500,353018,90178,8.1,8.1
232,No Country for Old Men,https://www.imdb.com/title/tt0477348/,147904,212516,242620,127703,48232,20903,9978,6323,4820,11970,563378,78403,8.2,7.7
234,Million Dollar Baby,https://www.imdb.com/title/tt0405159/,95984,150049,206365,105591,34708,13052,5991,3382,2445,6411,397656,87642,8.1,8.0
235,Hotel Rwanda,https://www.imdb.com/title/tt0395169/,49042,81326,115518,56024,15174,4930,1959,1146,942,3508,217778,44636,8.1,8.2
236,Brotherhood,https://www.imdb.com/title/tt0386064/,9607,8400,9779,5220,2140,814,389,214,143,659,28389,2611,8.1,7.9
238,Memories of Murder,https://www.imdb.com/title/tt0353969/,20951,31639,43005,21021,6235,2369,973,570,444,1390,85870,10648,8.1,7.9
240,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,180271,234649,293331,147966,54789,23792,12150,8445,7007,16084,614256,122616,8.1,8.1
241,Finding Nemo,https://www.imdb.com/title/tt0266543/,163458,209496,308060,164066,50764,16387,6129,3356,2332,4999,521094,169349,8.1,8.3
242,Catch Me If You Can,https://www.imdb.com/title/tt0264464/,108998,185527,307730,143128,36784,10827,3738,1937,1244,2003,475781,113309,8.1,8.1
243,Amores Perros,https://www.imdb.com/title/tt0245712/,33184,55081,73779,35205,10976,4165,1797,1102,1046,3167,143046,31421,8.1,8.1
244,Neon Genesis Evangelion: The End of Evangelion,https://www.imdb.com/title/tt0169858/,11221,7782,8297,4240,1913,1009,545,346,320,936,23808,2655,8.1,7.9
246,The Sixth Sense,https://www.imdb.com/title/tt0167404/,142287,223910,295224,149494,48807,16302,6896,3788,2872,5769,540770,139960,8.1,8.2
247,The Legend of 1900,https://www.imdb.com/title/tt0120731/,13155,13212,16672,8415,3110,1332,565,314,247,416,35236,9738,8.0,8.3
248,The Truman Show,https://www.imdb.com/title/tt0120382/,137770,214240,316509,160471,49268,16835,6720,3679,2314,4188,548775,130495,8.1,8.0
249,"Crna macka, beli macor",https://www.imdb.com/title/tt0118843/,12506,11054,13786,6810,2650,1157,572,340,300,721,33256,7977,8.0,8.3
250,The Big Lebowski,https://www.imdb.com/title/tt0118715/,160667,156972,189449,114434,47052,19443,9203,5552,4180,8027,475134,70495,8.1,7.8
251,In the Mood for Love,https://www.imdb.com/title/tt0118694/,26538,26040,32374,18485,7372,3250,1641,977,748,2004,69965,20545,8.0,8.2
252,Trainspotting,https://www.imdb.com/title/tt0117951/,108459,156938,198479,98222,32373,12111,5570,3420,2707,5719,389917,87196,8.1,8.1
253,Fargo,https://www.imdb.com/title/tt0116282/,97488,148306,190155,100479,34562,12749,5855,3546,2477,6032,388753,62988,8.1,8.0
254,Underground,https://www.imdb.com/title/tt0114787/,15466,11839,12866,6619,2837,1568,817,519,426,1308,37273,7075,8.1,8.3
255,La Haine,https://www.imdb.com/title/tt0113247/,25556,34599,45870,23296,7332,3003,1291,810,666,2390,97137,14854,8.1,8.0
257,Before Sunrise,https://www.imdb.com/title/tt0112471/,52873,59055,80072,42062,14906,6164,2796,1531,1236,2698,146057,56919,8.1,8.1
258,Three Colours: Red,https://www.imdb.com/title/tt0111495/,17394,19132,26475,13976,4857,2108,941,580,507,1929,54608,12454,8.0,8.0
259,Chungking Express,https://www.imdb.com/title/tt0109424/,12557,13659,17205,9793,3613,1401,629,373,265,672,37250,9336,8.0,8.1
260,Jurassic Park,https://www.imdb.com/title/tt0107290/,152832,178407,278220,151733,49850,18080,7437,4110,2538,4055,520658,100487,8.1,8.0
261,In the Name of the Father,https://www.imdb.com/title/tt0107207/,21712,37791,55532,25542,6839,2423,997,593,430,1169,100910,16715,8.1,8.2
262,Raise the Red Lantern,https://www.imdb.com/title/tt0101640/,6066,7080,8450,3972,1386,643,266,183,179,583,17167,4878,8.1,8.3
263,Dead Poets Society,https://www.imdb.com/title/tt0097165/,74801,92482,134704,68832,22872,8661,3830,2076,1366,2225,229748,74733,8.0,8.3
264,The Princess Bride,https://www.imdb.com/title/tt0093779/,99794,80981,96756,60124,24064,10005,4514,2814,1824,4806,205511,81216,8.0,8.2
265,Stand by Me,https://www.imdb.com/title/tt0092005/,65459,77814,118060,63246,19067,6243,2251,1148,832,2113,216228,55793,8.0,8.2
266,Platoon,https://www.imdb.com/title/tt0091763/,54079,88172,131737,64709,19747,6889,2879,1606,1210,2765,262724,24779,8.1,7.8
267,"Paris, Texas",https://www.imdb.com/title/tt0087884/,17033,18146,26066,14572,5420,2412,1141,638,428,960,54398,10259,8.0,8.1
268,Nausicaä of the Valley of the Wind,https://www.imdb.com/title/tt0087544/,28458,32913,43940,24074,7943,3087,1250,805,680,2132,87696,21373,8.1,8.1
269,The Thing,https://www.imdb.com/title/tt0084787/,74245,78576,107914,60576,21646,8219,3490,1928,1246,2836,248587,28128,8.2,7.7
270,Pink Floyd: The Wall,https://www.imdb.com/title/tt0084503/,19906,14398,19509,10863,4809,2159,1134,632,520,913,49442,9087,8.0,8.2
271,Fitzcarraldo,https://www.imdb.com/title/tt0083946/,5614,6786,9523,4971,1928,731,330,202,141,399,22254,2259,8.1,7.9
272,Fanny and Alexander,https://www.imdb.com/title/tt0083922/,14976,10994,13063,8049,3562,1872,973,644,524,1657,36974,8026,8.1,8.1
273,Blade Runner,https://www.imdb.com/title/tt0083658/,162727,153706,168383,102944,46007,20156,9505,5607,3732,6134,442680,58643,8.2,7.8
274,The Elephant Man,https://www.imdb.com/title/tt0080678/,38320,50700,68455,35913,11709,4437,1901,934,628,1832,138276,27123,8.1,8.2
275,Monty Python's Life of Brian,https://www.imdb.com/title/tt0079470/,68528,82384,105773,60184,22168,8857,3916,2214,1688,3995,234661,38498,8.1,8.0
276,The Deer Hunter,https://www.imdb.com/title/tt0077416/,56757,73907,90404,48003,17637,7503,3684,2214,1550,3107,210549,22838,8.1,8.1
277,Rocky,https://www.imdb.com/title/tt0075148/,93882,103444,166739,92135,28889,10273,3940,2295,1598,3622,347020,37167,8.1,7.6
278,Network,https://www.imdb.com/title/tt0074958/,27444,30747,41637,24668,9042,3563,1532,832,576,2043,98140,11967,8.1,7.9
279,Barry Lyndon,https://www.imdb.com/title/tt0072684/,32769,29706,39648,23726,9227,4051,1907,1134,794,2626,98135,11844,8.1,7.7
280,Mirror,https://www.imdb.com/title/tt0072443/,10836,7294,8626,5291,2475,1337,669,520,364,801,24693,4241,8.1,8.2
281,Paper Moon,https://www.imdb.com/title/tt0070510/,6800,8336,14382,7847,2144,905,264,180,152,328,24762,5389,8.1,8.1
282,Cries and Whispers,https://www.imdb.com/title/tt0069467/,7003,5840,7369,4285,1926,903,542,323,290,723,18741,3848,8.1,8.1
283,Solaris,https://www.imdb.com/title/tt0069293/,18383,17222,19507,11153,5018,2470,1378,931,676,1615,53555,7500,8.0,8.1
284,Le samouraï,https://www.imdb.com/title/tt0062229/,8851,9423,12507,7418,2714,1084,470,270,203,1093,32234,3399,8.1,8.0
285,Cool Hand Luke,https://www.imdb.com/title/tt0061512/,28009,36944,50688,26987,8743,3193,1318,724,511,1495,107235,13470,8.1,8.0
286,Persona,https://www.imdb.com/title/tt0060827/,24419,20304,24782,14316,6589,3118,1533,1060,796,2201,60279,14391,8.1,8.2
287,Andrei Rublev,https://www.imdb.com/title/tt0060107/,13928,7862,9829,5902,2402,1458,801,566,504,1666,27859,3877,8.1,8.2
288,The Battle of Algiers,https://www.imdb.com/title/tt0058946/,11128,11086,13925,7364,2834,1423,573,408,377,2181,36263,4328,8.1,7.9
289,El ángel exterminador,https://www.imdb.com/title/tt0056732/,6248,6235,7799,4138,1773,763,344,241,220,1043,19860,3510,8.1,8.2
290,What Ever Happened to Baby Jane?,https://www.imdb.com/title/tt0056687/,9342,10254,15731,8035,2836,1144,510,278,217,496,28236,10159,8.0,8.3
291,Sanjuro,https://www.imdb.com/title/tt0056443/,4852,7093,11243,5152,1604,570,273,206,167,351,22567,1543,8.1,8.0
292,The Man Who Shot Liberty Valance,https://www.imdb.com/title/tt0056217/,12639,14439,20427,11408,3919,1542,614,351,266,1725,48095,5506,8.1,7.9
293,Ivan's Childhood,https://www.imdb.com/title/tt0056111/,5446,6625,9443,5034,1719,662,321,213,219,613,20396,3064,8.1,8.3
294,The Virgin Spring,https://www.imdb.com/title/tt0053976/,4720,5466,7994,4360,1565,554,281,158,171,769,17879,3059,8.1,8.1
295,Inherit the Wind,https://www.imdb.com/title/tt0053946/,5788,6088,7713,3860,1501,601,223,165,162,599,18243,2942,8.1,8.2
296,The 400 Blows,https://www.imdb.com/title/tt0053198/,21044,21344,29415,16531,6087,2635,1184,725,623,2518,64633,12536,8.1,8.1
297,Ben-Hur,https://www.imdb.com/title/tt0052618/,44368,44893,63124,35559,13429,5767,2517,1547,1226,2665,141126,21104,8.1,7.9
298,The Hidden Fortress,https://www.imdb.com/title/tt0051808/,5332,7384,11202,5446,1691,631,255,206,164,1091,23655,2061,8.1,7.9
299,Sweet Smell of Success,https://www.imdb.com/title/tt0051036/,5681,5827,7624,4398,1808,791,294,200,156,517,19278,2776,8.1,7.9
300,Nights of Cabiria,https://www.imdb.com/title/tt0050783/,8521,8486,12520,6245,2256,1185,585,447,428,1275,25731,5091,8.1,8.3
301,Throne of Blood,https://www.imdb.com/title/tt0050613/,8228,9965,13455,6825,2439,1185,573,415,359,1613,31576,3192,8.1,7.9
302,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,33297,47972,64519,33746,10423,3825,1545,956,781,1912,135138,14195,8.2,7.9
303,On the Waterfront,https://www.imdb.com/title/tt0047296/,27309,31468,41545,22209,7927,3135,1434,865,630,2238,90531,13386,8.1,8.0
304,The Wages of Fear,https://www.imdb.com/title/tt0046268/,9865,11843,15418,8169,2750,1425,580,418,437,2138,36217,3690,8.2,7.7
305,Ace in the Hole,https://www.imdb.com/title/tt0043338/,5018,7007,10019,5112,1667,604,215,126,117,707,22026,2546,8.1,8.0
306,White Heat,https://www.imdb.com/title/tt0042041/,5270,6500,9127,4722,1585,556,203,99,120,824,20507,2523,8.1,8.1
307,The Third Man,https://www.imdb.com/title/tt0041959/,33996,34408,41403,24878,9956,4399,2115,1226,793,2280,100784,14658,8.1,8.0
308,The Red Shoes,https://www.imdb.com/title/tt0040725/,7662,6146,7448,4321,1994,1070,453,254,192,411,18523,5460,8.1,8.1
309,The Shop Around the Corner,https://www.imdb.com/title/tt0033045/,5099,5639,8628,4660,1554,581,174,121,48,356,15296,6026,8.1,8.1
310,Rebecca,https://www.imdb.com/title/tt0032976/,21944,26554,36845,20182,7063,2785,1139,706,550,1755,67679,22073,8.0,8.3
311,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,20923,24106,29475,16715,6086,2705,1218,835,641,1969,64890,12709,8.1,8.1
312,Gone with the Wind,https://www.imdb.com/title/tt0031381/,79968,56243,67311,39763,17905,8648,4498,2994,2277,4749,141329,73102,8.0,8.5
313,La Grande Illusion,https://www.imdb.com/title/tt0028950/,7870,6754,8683,5070,1960,860,362,244,220,1185,23212,3096,8.1,8.0
314,It Happened One Night,https://www.imdb.com/title/tt0025316/,17801,19210,27577,15400,5397,2374,962,618,555,1641,51925,16454,8.0,8.2
315,Joan of Arc,https://www.imdb.com/title/tt0019254/,12538,7935,10691,6376,2703,1617,852,642,557,2014,27985,4592,8.2,8.1
316,The Circus,https://www.imdb.com/title/tt0018773/,4575,5721,9686,4559,1298,451,179,100,175,878,19168,2750,8.1,8.2
317,Sunrise: A Song of Two Humans,https://www.imdb.com/title/tt0018455/,11428,8092,11831,7272,2914,1570,740,474,459,1356,28827,4862,8.1,8.1
318,The General,https://www.imdb.com/title/tt0017925/,16919,16480,21984,12394,4602,2254,1022,709,614,1913,51255,7065,8.2,8.0
319,The Cabinet of Dr. Caligari,https://www.imdb.com/title/tt0010323/,11435,11283,16000,8908,3523,1565,724,484,348,1427,35878,7666,8.1,8.1
320,Shoplifters,https://www.imdb.com/title/tt8075192/,6177,12943,20790,11386,3406,1073,369,242,160,416,33736,7519,7.9,8.0
322,Marriage Story,https://www.imdb.com/title/tt7653254/,26126,53120,77339,44721,15143,5315,2242,1351,965,1970,116489,36585,7.9,7.8
323,Togo,https://www.imdb.com/title/tt5116302/,7255,6304,9127,5706,1731,469,187,77,50,158,18539,3484,7.9,8.5
327,La La Land,https://www.imdb.com/title/tt3783958/,105763,108849,116816,75170,35334,17076,8671,5746,4656,10908,244332,90257,8.0,7.8
328,Lion,https://www.imdb.com/title/tt3741834/,35994,49076,70406,35905,10230,2929,1001,497,328,742,111140,40517,8.0,8.3
329,The Martian,https://www.imdb.com/title/tt3659388/,92730,171998,268811,139733,42183,13249,5041,2681,1743,3574,441247,89336,8.0,8.0
330,Zootropolis,https://www.imdb.com/title/tt2948356/,67873,91431,143431,81805,24669,6796,2262,1119,712,1726,225188,69206,7.9,8.2
331,The Tale of the Princess Kaguya,https://www.imdb.com/title/tt2576852/,6371,8364,11202,6552,2357,850,332,185,111,207,20976,6788,8.0,8.1
332,Wonder,https://www.imdb.com/title/tt2543472/,25980,27387,44118,24985,7882,2314,897,420,241,555,67774,27459,7.9,8.2
334,Short Term 12,https://www.imdb.com/title/tt2370248/,11522,18095,27011,14929,4738,1564,703,426,296,557,48895,14467,7.9,8.1
335,The Raid 2,https://www.imdb.com/title/tt2265171/,24752,23551,31126,19241,7259,2867,1240,612,413,1125,85736,4031,8.0,7.7
336,The Imitation Game,https://www.imdb.com/title/tt2084970/,95259,164168,237607,120713,32776,9583,3414,1641,1033,2709,385514,110054,8.0,8.3
337,Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/,192043,239363,305363,172373,62553,22921,10201,5752,4008,9760,600930,127995,8.0,8.1
338,Blade Runner 2049,https://www.imdb.com/title/tt1856101/,79118,103668,118176,71980,32267,14567,7166,4759,3537,6706,275833,38350,8.0,7.6
339,Her,https://www.imdb.com/title/tt1798709/,79696,124485,159822,90149,35925,14689,7055,4331,2987,5699,309305,89256,8.0,7.8
340,Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/,98168,100412,115962,66968,28300,11599,5292,2598,1539,3492,221319,75414,7.8,8.4
341,The Revenant,https://www.imdb.com/title/tt1663202/,98449,156254,220541,126841,45982,17334,7553,4469,3020,5490,409342,77445,8.0,7.8
342,The Perks of Being a Wallflower,https://www.imdb.com/title/tt1659337/,88319,97801,133459,79588,30227,10824,4680,2381,1558,3383,229268,120596,7.9,8.0
343,Tropa de Elite 2: O Inimigo Agora é Outro,https://www.imdb.com/title/tt1555149/,14934,17637,24791,13041,4083,1465,592,355,288,1041,63142,4771,8.0,8.0
344,The King's Speech,https://www.imdb.com/title/tt1504320/,78032,145898,223766,120183,36557,11686,4625,2423,1607,4033,376737,121645,7.9,8.2
345,The Help,https://www.imdb.com/title/tt1454029/,72172,97860,141693,70667,21034,7330,2945,1609,1186,3510,199844,131294,7.9,8.4
346,Deadpool,https://www.imdb.com/title/tt1431045/,180514,193604,249289,149356,58607,21400,9597,5780,4175,10776,499490,106084,8.0,8.0
347,About Elly,https://www.imdb.com/title/tt1360860/,9790,9140,12752,7225,2399,880,406,267,194,578,27651,6188,8.0,7.9
349,Ip Man,https://www.imdb.com/title/tt1220719/,36643,47094,69496,35929,11123,3522,1336,793,581,1698,156531,12473,8.0,7.9
351,Nefes: Vatan Sagolsun,https://www.imdb.com/title/tt1171701/,15903,4193,4422,2601,1238,642,314,241,202,1498,23568,2131,8.0,8.0
352,Slumdog Millionaire,https://www.imdb.com/title/tt1010048/,122615,178606,252180,136939,48831,19010,8581,5162,3754,11250,490924,138930,8.0,8.1
353,Black Swan,https://www.imdb.com/title/tt0947798/,106640,157376,209740,116461,46661,19398,10121,6640,4378,9392,396075,158973,8.0,8.0
354,Avengers Assemble,https://www.imdb.com/title/tt0848228/,289943,270092,327537,197749,79584,32262,13876,8021,5672,17445,770813,169359,8.0,8.2
355,Persepolis,https://www.imdb.com/title/tt0808417/,13822,20274,30541,14170,4314,1533,647,359,298,1138,53938,18450,7.9,8.3
356,Dallas Buyers Club,https://www.imdb.com/title/tt0790636/,44217,97332,176521,80727,20499,5621,2099,1051,783,1839,265883,72195,7.9,8.1
357,The Pursuit of Happyness,https://www.imdb.com/title/tt0454921/,83687,92517,142204,76048,25831,8913,3425,1868,1155,2335,277978,69040,8.0,8.0
358,Blood Diamond,https://www.imdb.com/title/tt0450259/,70523,108222,186226,86169,24580,7470,2765,1337,835,2084,336633,58347,8.0,8.0
359,The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/,92475,133476,208006,108726,32202,10628,4120,2317,1667,4307,420389,57727,8.0,7.8
360,3-Iron,https://www.imdb.com/title/tt0423866/,9017,11292,15000,8121,2843,1156,491,305,210,483,32018,8538,8.0,8.2
361,Sin City,https://www.imdb.com/title/tt0401792/,137081,166932,206225,118038,47945,21512,10620,6880,5404,12772,514769,83339,8.0,7.7
362,The Diving Bell and the Butterfly,https://www.imdb.com/title/tt0401383/,15579,24255,32729,17317,6014,2232,1001,643,550,1802,68021,19388,8.0,8.0
363,G.O.R.A.,https://www.imdb.com/title/tt0384116/,20463,8805,12110,6561,2851,1349,640,415,335,1673,36334,4950,8.0,7.7
364,Ratatouille,https://www.imdb.com/title/tt0382932/,106490,128502,203251,118171,40635,13296,5056,2671,1849,5557,367849,114705,8.0,8.0
365,Before Sunset,https://www.imdb.com/title/tt0381681/,45316,48616,69013,37814,13756,5593,2561,1574,1277,3722,130626,49641,8.1,8.0
366,Casino Royale,https://www.imdb.com/title/tt0381061/,88413,121429,200520,101479,33076,11398,4896,2737,1820,5114,399760,54273,8.0,7.7
367,Kill Bill: Vol. 2,https://www.imdb.com/title/tt0378194/,109257,140608,222091,112398,40745,16741,7727,4723,4361,10339,436657,78691,8.0,8.1
368,The Return,https://www.imdb.com/title/tt0376968/,7501,9182,12605,6982,2556,1011,468,277,287,517,28320,5958,7.9,8.1
369,"Spring, Summer, Autumn, Winter... and Spring",https://www.imdb.com/title/tt0374546/,14325,17453,22337,12012,4547,1885,831,510,406,1382,50530,12427,8.0,8.1
370,The Sea Inside,https://www.imdb.com/title/tt0369702/,12855,17234,25478,12672,4315,1575,675,386,285,949,48320,15277,8.0,8.2
371,Cinderella Man,https://www.imdb.com/title/tt0352248/,28994,36623,60792,30621,9430,3206,1274,661,482,1545,123423,19609,8.0,7.9
373,Infernal Affairs,https://www.imdb.com/title/tt0338564/,20710,26998,36970,19063,5696,2247,862,571,520,2839,83007,9830,8.0,8.0
374,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,184321,207220,333079,173198,56980,21039,8740,4989,3363,8995,603525,163433,8.0,8.2
375,Big Fish,https://www.imdb.com/title/tt0319061/,75618,87987,125070,69441,27250,10488,4628,2573,1761,3949,252573,80713,8.0,8.1
376,The Incredibles,https://www.imdb.com/title/tt0317705/,110377,130699,208449,119941,43425,14888,5663,2873,1772,5329,388139,99932,8.0,7.8
377,My Sassy Girl,https://www.imdb.com/title/tt0293715/,12290,9673,11074,6293,2591,1096,528,274,239,651,29905,7349,8.1,7.7
378,Dogville,https://www.imdb.com/title/tt0276919/,31745,32057,34311,16279,7071,3741,2257,1639,1484,4550,83626,24319,8.0,8.1
379,Vizontele,https://www.imdb.com/title/tt0270053/,7710,6035,9919,5045,1597,630,283,194,163,780,21225,3118,8.0,7.8
380,Donnie Darko,https://www.imdb.com/title/tt0246578/,155698,166716,196431,112708,46153,19710,9922,6291,4774,10486,459946,110076,8.0,8.0
381,"Monsters, Inc.",https://www.imdb.com/title/tt0198781/,124576,166311,284884,149630,44240,13565,4977,2578,1743,3417,448513,138560,8.0,8.2
382,Magnolia,https://www.imdb.com/title/tt0175880/,60550,61038,76372,42350,18411,8762,4805,3438,2712,6495,188867,35036,8.0,7.7
383,Dancer in the Dark,https://www.imdb.com/title/tt0168629/,24055,22168,25078,13475,5878,3228,1757,1225,971,2346,59120,18843,7.9,8.1
384,Mulholland Drive,https://www.imdb.com/title/tt0166924/,72876,64015,78647,44388,20775,10571,6070,4381,3478,8236,203918,40082,8.0,7.7
385,The Straight Story,https://www.imdb.com/title/tt0166896/,14032,17125,24990,13524,4849,2044,913,568,384,1669,54169,7850,8.0,7.9
386,Perfect Blue,https://www.imdb.com/title/tt0156887/,8325,12001,17815,10209,3389,1334,522,256,165,358,32868,6871,7.9,7.9
387,Festen,https://www.imdb.com/title/tt0154420/,14920,19014,21936,11105,3870,1733,871,556,548,1910,52028,9967,8.0,8.0
388,Central Station,https://www.imdb.com/title/tt0140888/,9769,6504,9793,5281,1919,746,301,198,193,757,22696,5305,7.9,8.1
389,The Iron Giant,https://www.imdb.com/title/tt0129167/,33315,33530,53885,29486,10290,3837,1502,809,522,1349,109486,21178,8.0,8.0
390,Knockin' on Heaven's Door,https://www.imdb.com/title/tt0119472/,6598,4988,7375,4648,1821,762,324,184,134,232,18100,3447,7.9,8.3
391,Sling Blade,https://www.imdb.com/title/tt0117666/,15391,18775,27459,14272,4990,1961,867,546,428,1079,56062,9088,8.0,8.1
392,Secrets & Lies,https://www.imdb.com/title/tt0117589/,6371,7896,11152,6158,2382,1069,491,304,212,499,22170,5845,8.0,7.9
393,Twelve Monkeys,https://www.imdb.com/title/tt0114746/,77060,131164,192775,104160,35380,13159,5863,3227,2183,4204,383893,57690,8.0,7.9
394,Ghost in the Shell,https://www.imdb.com/title/tt0113568/,23744,26731,38643,21749,8412,3150,1316,688,465,839,86583,9685,8.0,7.8
395,The Nightmare Before Christmas,https://www.imdb.com/title/tt0107688/,64295,53329,83540,47755,19446,7575,3513,1959,1305,2831,154620,67851,7.9,8.2
396,Groundhog Day,https://www.imdb.com/title/tt0107048/,90766,117231,186204,113078,36753,12654,5119,2773,1792,3399,363571,74072,8.1,7.6
397,Bound by Honor,https://www.imdb.com/title/tt0106469/,7790,5420,7570,4237,1705,692,305,183,122,320,21084,1762,7.9,7.9
398,Scent of a Woman,https://www.imdb.com/title/tt0105323/,47355,55503,81529,44471,15167,5408,2153,1091,676,989,164837,36367,8.0,8.0
399,Aladdin,https://www.imdb.com/title/tt0103639/,64674,68659,125050,69257,22683,7666,2802,1322,775,1426,197533,77132,8.0,8.2
400,JFK,https://www.imdb.com/title/tt0102138/,25149,28140,43767,24052,8931,3774,1618,965,747,1714,96161,10505,8.0,7.8
401,Beauty and the Beast,https://www.imdb.com/title/tt0101414/,90162,73555,121500,76694,28514,10543,3936,1990,1265,2713,205126,105743,7.8,8.5
402,Dances with Wolves,https://www.imdb.com/title/tt0099348/,41087,48860,75243,41005,15049,6304,2877,1736,1125,2110,152699,28719,8.0,7.9
403,Rain Man,https://www.imdb.com/title/tt0095953/,56830,98143,182024,88627,24922,7691,2802,1396,899,2186,296471,70076,8.0,8.0
404,Akira,https://www.imdb.com/title/tt0094625/,32794,35654,45598,25208,10190,4395,2157,1241,824,1767,108757,11125,8.0,7.8
405,Wings of Desire,https://www.imdb.com/title/tt0093191/,15956,13477,15485,8585,3954,1957,1048,710,603,1294,39346,10366,8.0,8.2
406,Au Revoir les Enfants,https://www.imdb.com/title/tt0092593/,5276,6413,9875,5446,1789,655,285,127,143,493,19403,5059,7.9,8.2
407,Laputa: Castle in the Sky,https://www.imdb.com/title/tt0092067/,25627,30531,48329,26138,7820,2654,1071,687,611,2090,84282,24597,8.0,8.0
408,The Terminator,https://www.imdb.com/title/tt0088247/,114677,158737,278365,154879,47402,15683,6109,3186,2142,4080,525225,66572,8.1,7.7
409,Gandhi,https://www.imdb.com/title/tt0083987/,37447,46713,69812,37136,12159,4680,1954,1173,882,3376,142931,23450,8.0,8.0
410,Kagemusha,https://www.imdb.com/title/tt0080979/,4999,6363,10396,5479,1967,809,359,223,172,561,22401,1776,8.0,8.0
411,Being There,https://www.imdb.com/title/tt0078841/,12280,13628,19382,10437,4231,1716,812,478,400,949,43566,6717,8.0,7.8
412,Annie Hall,https://www.imdb.com/title/tt0075686/,47907,52862,69732,42176,16660,7256,3404,2269,1773,4403,150854,40436,8.0,7.8
413,All the President's Men,https://www.imdb.com/title/tt0074119/,13512,19839,36756,19735,6008,1984,751,350,230,851,67572,10011,7.9,8.0
414,Jaws,https://www.imdb.com/title/tt0073195/,98894,101175,160800,105345,38799,14772,6059,3374,2222,4779,343480,61730,8.0,7.6
415,Dog Day Afternoon,https://www.imdb.com/title/tt0072890/,30988,50155,83182,44499,12918,4448,1648,821,554,1712,164597,18230,8.0,8.0
416,Young Frankenstein,https://www.imdb.com/title/tt0072431/,30579,28592,40386,22962,9463,3822,1669,955,629,1606,91335,16879,8.0,8.1
417,Papillon,https://www.imdb.com/title/tt0070511/,18703,26301,42453,20825,6548,2251,855,493,400,731,86474,9468,8.0,7.9
418,The Exorcist,https://www.imdb.com/title/tt0070047/,67756,70358,105659,61945,24996,10188,4741,2827,1938,4148,229579,48624,8.1,7.8
419,Sleuth,https://www.imdb.com/title/tt0069281/,7750,9596,13264,7421,2862,1161,515,327,258,986,31546,4686,8.0,8.0
420,The Last Picture Show,https://www.imdb.com/title/tt0067328/,8451,8190,11954,7186,2816,1251,553,278,197,440,28409,4308,8.0,7.8
421,Fiddler on the Roof,https://www.imdb.com/title/tt0067093/,9187,7309,10599,6165,2549,1139,497,277,197,505,21164,8604,7.9,8.2
422,The Conformist,https://www.imdb.com/title/tt0065571/,5366,5511,7085,4517,1794,787,369,194,163,323,18282,2580,8.0,8.0
423,Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/,31741,44607,65875,36032,11854,4264,1693,954,785,1524,132630,18229,8.0,8.0
424,Rosemary's Baby,https://www.imdb.com/title/tt0063522/,31351,38448,58923,33738,12914,5183,2520,1428,1081,2426,116146,32661,8.0,7.8
425,Planet of the Apes,https://www.imdb.com/title/tt0063442/,24769,31025,57177,30785,10586,3804,1626,899,610,1726,115543,13323,8.0,7.7
