Rank,Title,url,Votes_10,Votes_9,Votes_8,Votes_7,Votes_6,Votes_5,Votes_4,Votes_3,Votes_2,Votes_1,Votes_M,Votes_F,AvgRating_M,AvgRating_F
44,The Lion King,https://www.imdb.com/title/tt0110357/,272887,237651,232423,109186,35814,14216,5720,3192,2092,5254,509261,167733,8.4,8.8
45,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,245215,268935,261146,125704,40649,15439,6698,3614,2515,6135,657281,76508,8.6,8.1
46,Cinema Paradiso,https://www.imdb.com/title/tt0095765/,62368,61250,54716,25347,9022,4075,2052,1027,965,2632,134921,32975,8.5,8.5
47,Grave of the Fireflies,https://www.imdb.com/title/tt0095327/,66618,59795,52822,25182,9128,4150,2205,1268,1070,3725,131435,34641,8.5,8.6
48,Back to the Future,https://www.imdb.com/title/tt0088763/,265257,274018,283178,134797,41818,14656,5981,3044,1875,4291,626091,125160,8.5,8.4
50,Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/,81302,79074,71494,35245,12573,5780,2896,1630,1295,4365,207623,18244,8.5,8.1
51,Psycho,https://www.imdb.com/title/tt0054215/,141495,163975,159051,75508,24811,9826,4385,2410,1729,4531,348053,86653,8.5,8.4
52,Casablanca,https://www.imdb.com/title/tt0034583/,154623,124781,118243,61867,22938,10312,4903,2898,2472,7535,302861,78370,8.5,8.3
53,Modern Times,https://www.imdb.com/title/tt0027977/,55301,59015,54875,23583,8095,3725,1849,1030,775,3353,134213,23727,8.5,8.5
54,City Lights,https://www.imdb.com/title/tt0021749/,46180,42258,39882,18398,6503,3279,1826,944,780,2924,104222,17940,8.5,8.5
55,Capernaum,https://www.imdb.com/title/tt8267604/,14122,15845,14626,5685,1659,725,312,198,169,703,29972,7877,8.3,8.7
56,Ayla,https://www.imdb.com/title/tt6316138/,18415,4686,3924,2522,1146,504,242,150,131,608,16975,4815,8.3,8.7
57,Your Name.,https://www.imdb.com/title/tt5311514/,53586,46140,43318,22182,7326,2582,1082,628,466,1970,92128,22260,8.4,8.4
